Domain,Area,Element,Item,Year,Unit,Value,Note
Agriculture Total,France,Emissions (N2O),Manure Management,2010,gigagrams,12.9605,
Agriculture Total,France,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,42.5382,
Agriculture Total,France,Emissions (N2O),Manure applied to Soils,2010,gigagrams,20.3326,
Agriculture Total,France,Emissions (N2O),Manure left on Pasture,2010,gigagrams,16.1059,
Agriculture Total,French Guiana,Emissions (N2O),Manure Management,2010,gigagrams,0.0019,
Agriculture Total,French Guiana,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0033,
Agriculture Total,French Guiana,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0256,
Agriculture Total,French Polynesia,Emissions (N2O),Manure Management,2010,gigagrams,0.0062,
Agriculture Total,French Polynesia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0075,
Agriculture Total,French Polynesia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0083,
Agriculture Total,French Polynesia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0227,
Agriculture Total,Gabon,Emissions (N2O),Manure Management,2010,gigagrams,0.0975,
Agriculture Total,Gabon,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0123,
Agriculture Total,Gabon,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0764,
Agriculture Total,Gabon,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1798,
Agriculture Total,Gambia,Emissions (N2O),Manure Management,2010,gigagrams,0.0214,
Agriculture Total,Gambia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0372,
Agriculture Total,Gambia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0265,
Agriculture Total,Gambia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.8959,
Agriculture Total,Georgia,Emissions (N2O),Manure Management,2010,gigagrams,0.0887,
Agriculture Total,Georgia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.2689,
Agriculture Total,Georgia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1257,
Agriculture Total,Georgia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,2.4568,
Agriculture Total,Germany,Emissions (N2O),Manure Management,2010,gigagrams,10.8166,
Agriculture Total,Germany,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,37.1972,
Agriculture Total,Germany,Emissions (N2O),Manure applied to Soils,2010,gigagrams,16.5985,
Agriculture Total,Germany,Emissions (N2O),Manure left on Pasture,2010,gigagrams,9.7544,
Agriculture Total,Ghana,Emissions (N2O),Manure Management,2010,gigagrams,0.3081,
Agriculture Total,Ghana,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.5171,
Agriculture Total,Ghana,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.3542,
Agriculture Total,Ghana,Emissions (N2O),Manure left on Pasture,2010,gigagrams,5.4934,
Agriculture Total,Greece,Emissions (N2O),Manure Management,2010,gigagrams,0.7821,
Agriculture Total,Greece,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,3.6882,
Agriculture Total,Greece,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.4288,
Agriculture Total,Greece,Emissions (N2O),Manure left on Pasture,2010,gigagrams,5.1335,
Agriculture Total,Greenland,Emissions (N2O),Manure Management,2010,gigagrams,0.0002,
Agriculture Total,Greenland,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0004,
Agriculture Total,Greenland,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0031,
Agriculture Total,Grenada,Emissions (N2O),Manure Management,2010,gigagrams,0.0015,
Agriculture Total,Grenada,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0031,
Agriculture Total,Grenada,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0146,
Agriculture Total,Guadeloupe,Emissions (N2O),Manure Management,2010,gigagrams,0.0056,
Agriculture Total,Guadeloupe,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0082,
Agriculture Total,Guadeloupe,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1228,
Agriculture Total,Guam,Emissions (N2O),Manure Management,2010,gigagrams,0.0013,
Agriculture Total,Guam,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0026,
Agriculture Total,Guam,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0008,
Agriculture Total,Guatemala,Emissions (N2O),Manure Management,2010,gigagrams,0.8803,
Agriculture Total,Guatemala,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,2.9595,
Agriculture Total,Guatemala,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.5586,
Agriculture Total,Guatemala,Emissions (N2O),Manure left on Pasture,2010,gigagrams,5.2859,
Agriculture Total,Guinea,Emissions (N2O),Manure Management,2010,gigagrams,0.1401,
Agriculture Total,Guinea,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0526,
Agriculture Total,Guinea,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.2191,
Agriculture Total,Guinea,Emissions (N2O),Manure left on Pasture,2010,gigagrams,8.9165,
Agriculture Total,Guinea-Bissau,Emissions (N2O),Manure Management,2010,gigagrams,0.1869,
Agriculture Total,Guinea-Bissau,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.154,
Agriculture Total,Guinea-Bissau,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.3626,
Agriculture Total,Guyana,Emissions (N2O),Manure Management,2010,gigagrams,0.0396,
Agriculture Total,Guyana,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.2943,
Agriculture Total,Guyana,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1202,
Agriculture Total,Guyana,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.3479,
Agriculture Total,Haiti,Emissions (N2O),Manure Management,2010,gigagrams,0.3116,
Agriculture Total,Haiti,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.5138,
Agriculture Total,Haiti,Emissions (N2O),Manure left on Pasture,2010,gigagrams,3.3981,
Agriculture Total,Honduras,Emissions (N2O),Manure Management,2010,gigagrams,0.2501,
Agriculture Total,Honduras,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.0483,
Agriculture Total,Honduras,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.8148,
Agriculture Total,Honduras,Emissions (N2O),Manure left on Pasture,2010,gigagrams,4.2465,
Agriculture Total,Hungary,Emissions (N2O),Manure Management,2010,gigagrams,1.0319,
Agriculture Total,Hungary,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,5.6753,
Agriculture Total,Hungary,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.7721,
Agriculture Total,Hungary,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.6992,
Agriculture Total,Iceland,Emissions (N2O),Manure Management,2010,gigagrams,0.0605,
Agriculture Total,Iceland,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.158,
Agriculture Total,Iceland,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0927,
Agriculture Total,Iceland,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.2506,
Agriculture Total,India,Emissions (N2O),Manure Management,2010,gigagrams,13.1808,
Agriculture Total,India,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,342.5261,
Agriculture Total,India,Emissions (N2O),Manure applied to Soils,2010,gigagrams,48.9614,
Agriculture Total,India,Emissions (N2O),Manure left on Pasture,2010,gigagrams,209.4601,
Agriculture Total,Indonesia,Emissions (N2O),Manure Management,2010,gigagrams,13.498,
Agriculture Total,Indonesia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,57.9788,
Agriculture Total,Indonesia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,12.477,
Agriculture Total,Indonesia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,29.6629,
Agriculture Total,Iran (Islamic Republic of),Emissions (N2O),Manure Management,2010,gigagrams,2.4994,
Agriculture Total,Iran (Islamic Republic of),Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,19.6493,
Agriculture Total,Iran (Islamic Republic of),Emissions (N2O),Manure applied to Soils,2010,gigagrams,7.5253,
Agriculture Total,Iran (Islamic Republic of),Emissions (N2O),Manure left on Pasture,2010,gigagrams,28.1563,
Agriculture Total,Iraq,Emissions (N2O),Manure Management,2010,gigagrams,0.1184,
Agriculture Total,Iraq,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,2.2483,
Agriculture Total,Iraq,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.3328,
Agriculture Total,Iraq,Emissions (N2O),Manure left on Pasture,2010,gigagrams,8.1007,
Agriculture Total,Ireland,Emissions (N2O),Manure Management,2010,gigagrams,3.6346,
Agriculture Total,Ireland,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,6.5306,
Agriculture Total,Ireland,Emissions (N2O),Manure applied to Soils,2010,gigagrams,5.2271,
Agriculture Total,Ireland,Emissions (N2O),Manure left on Pasture,2010,gigagrams,5.7587,
Agriculture Total,Israel,Emissions (N2O),Manure Management,2010,gigagrams,0.1503,
Agriculture Total,Israel,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.6288,
Agriculture Total,Israel,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.2461,
Agriculture Total,Israel,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.6168,
Agriculture Total,Italy,Emissions (N2O),Manure Management,2010,gigagrams,5.9767,
Agriculture Total,Italy,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,10.3817,
Agriculture Total,Italy,Emissions (N2O),Manure applied to Soils,2010,gigagrams,9.4093,
Agriculture Total,Italy,Emissions (N2O),Manure left on Pasture,2010,gigagrams,7.2107,
Agriculture Total,Jamaica,Emissions (N2O),Manure Management,2010,gigagrams,0.08,
Agriculture Total,Jamaica,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.1005,
Agriculture Total,Jamaica,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1402,
Agriculture Total,Jamaica,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.5136,
Agriculture Total,Japan,Emissions (N2O),Manure Management,2010,gigagrams,4.0432,
Agriculture Total,Japan,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,9.3586,
Agriculture Total,Japan,Emissions (N2O),Manure applied to Soils,2010,gigagrams,3.8365,
Agriculture Total,Japan,Emissions (N2O),Manure left on Pasture,2010,gigagrams,5.336,
Agriculture Total,Jordan,Emissions (N2O),Manure Management,2010,gigagrams,0.0268,
Agriculture Total,Jordan,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.329,
Agriculture Total,Jordan,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0747,
Agriculture Total,Jordan,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.2848,
Agriculture Total,Kazakhstan,Emissions (N2O),Manure Management,2010,gigagrams,3.7623,
Agriculture Total,Kazakhstan,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.8475,
Agriculture Total,Kazakhstan,Emissions (N2O),Manure applied to Soils,2010,gigagrams,3.5813,
Agriculture Total,Kazakhstan,Emissions (N2O),Manure left on Pasture,2010,gigagrams,9.8764,
Agriculture Total,Kenya,Emissions (N2O),Manure Management,2010,gigagrams,0.6089,
Agriculture Total,Kenya,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.4739,
Agriculture Total,Kenya,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.2634,
Agriculture Total,Kenya,Emissions (N2O),Manure left on Pasture,2010,gigagrams,45.5924,
Agriculture Total,Kiribati,Emissions (N2O),Manure Management,2010,gigagrams,0.0033,
Agriculture Total,Kiribati,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0069,
Agriculture Total,Kiribati,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0003,
Agriculture Total,Kuwait,Emissions (N2O),Manure Management,2010,gigagrams,0.0289,
Agriculture Total,Kuwait,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0,
Agriculture Total,Kuwait,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0815,
Agriculture Total,Kuwait,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.5905,
Agriculture Total,Kyrgyzstan,Emissions (N2O),Manure Management,2010,gigagrams,0.7476,
Agriculture Total,Kyrgyzstan,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.5354,
Agriculture Total,Kyrgyzstan,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.8545,
Agriculture Total,Kyrgyzstan,Emissions (N2O),Manure left on Pasture,2010,gigagrams,2.4553,
Agriculture Total,Lao People's Democratic Republic,Emissions (N2O),Manure Management,2010,gigagrams,2.0552,
Agriculture Total,Lao People's Democratic Republic,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.0977,
Agriculture Total,Lao People's Democratic Republic,Emissions (N2O),Manure left on Pasture,2010,gigagrams,2.5302,
Agriculture Total,Latvia,Emissions (N2O),Manure Management,2010,gigagrams,0.31,
Agriculture Total,Latvia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.221,
Agriculture Total,Latvia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.4481,
Agriculture Total,Latvia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.3011,
Agriculture Total,Lebanon,Emissions (N2O),Manure Management,2010,gigagrams,0.0467,
Agriculture Total,Lebanon,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.3666,
Agriculture Total,Lebanon,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1253,
Agriculture Total,Lebanon,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.8596,
Agriculture Total,Lesotho,Emissions (N2O),Manure Management,2010,gigagrams,0.0536,
Agriculture Total,Lesotho,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0626,
Agriculture Total,Lesotho,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.7256,
Agriculture Total,Liberia,Emissions (N2O),Manure Management,2010,gigagrams,0.1226,
Agriculture Total,Liberia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1012,
Agriculture Total,Liberia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.3325,
Agriculture Total,Libya,Emissions (N2O),Manure Management,2010,gigagrams,0.0527,
Agriculture Total,Libya,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.6663,
Agriculture Total,Libya,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.131,
Agriculture Total,Libya,Emissions (N2O),Manure left on Pasture,2010,gigagrams,3.6291,
Agriculture Total,Liechtenstein,Emissions (N2O),Manure Management,2010,gigagrams,0.0042,
Agriculture Total,Liechtenstein,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0057,
Agriculture Total,Liechtenstein,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0057,
Agriculture Total,Lithuania,Emissions (N2O),Manure Management,2010,gigagrams,0.6502,
Agriculture Total,Lithuania,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,2.2282,
Agriculture Total,Lithuania,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.9417,
Agriculture Total,Lithuania,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.596,
Agriculture Total,Luxembourg,Emissions (N2O),Manure Management,2010,gigagrams,0.1166,
Agriculture Total,Luxembourg,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.2866,
Agriculture Total,Luxembourg,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1617,
Agriculture Total,Luxembourg,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1392,
Agriculture Total,Madagascar,Emissions (N2O),Manure Management,2010,gigagrams,0.8322,
Agriculture Total,Madagascar,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0953,
Agriculture Total,Madagascar,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.8717,
Agriculture Total,Madagascar,Emissions (N2O),Manure left on Pasture,2010,gigagrams,16.6109,
Agriculture Total,Malawi,Emissions (N2O),Manure Management,2010,gigagrams,0.8485,
Agriculture Total,Malawi,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,2.01,
Agriculture Total,Malawi,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.6709,
Agriculture Total,Malawi,Emissions (N2O),Manure left on Pasture,2010,gigagrams,3.1723,
Agriculture Total,Malaysia,Emissions (N2O),Manure Management,2010,gigagrams,1.205,
Agriculture Total,Malaysia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,13.7598,
Agriculture Total,Malaysia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.6764,
Agriculture Total,Malaysia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,2.5976,
Agriculture Total,Maldives,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0026,
Agriculture Total,Mali,Emissions (N2O),Manure Management,2010,gigagrams,0.2825,
Agriculture Total,Mali,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.6218,
Agriculture Total,Mali,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.6565,
Agriculture Total,Mali,Emissions (N2O),Manure left on Pasture,2010,gigagrams,24.5099,
Agriculture Total,Malta,Emissions (N2O),Manure Management,2010,gigagrams,0.0203,
Agriculture Total,Malta,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0085,
Agriculture Total,Malta,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0361,
Agriculture Total,Malta,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0174,
Agriculture Total,Marshall Islands,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0,
Agriculture Total,Martinique,Emissions (N2O),Manure Management,2010,gigagrams,0.0041,
Agriculture Total,Martinique,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0065,
Agriculture Total,Martinique,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0364,
Agriculture Total,Mauritania,Emissions (N2O),Manure Management,2010,gigagrams,0.0738,
Agriculture Total,Mauritania,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.179,
Agriculture Total,Mauritania,Emissions (N2O),Manure left on Pasture,2010,gigagrams,8.2712,
Agriculture Total,Mauritius,Emissions (N2O),Manure Management,2010,gigagrams,0.018,
Agriculture Total,Mauritius,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.1067,
Agriculture Total,Mauritius,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0305,
Agriculture Total,Mauritius,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1881,
Agriculture Total,Mexico,Emissions (N2O),Manure Management,2010,gigagrams,5.6435,
Agriculture Total,Mexico,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,22.3758,
Agriculture Total,Mexico,Emissions (N2O),Manure applied to Soils,2010,gigagrams,10.0049,
Agriculture Total,Mexico,Emissions (N2O),Manure left on Pasture,2010,gigagrams,65.684,
Agriculture Total,Micronesia (Federated States of),Emissions (N2O),Manure Management,2010,gigagrams,0.0072,
Agriculture Total,Micronesia (Federated States of),Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0078,
Agriculture Total,Micronesia (Federated States of),Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0337,
Agriculture Total,Mongolia,Emissions (N2O),Manure Management,2010,gigagrams,1.6284,
Agriculture Total,Mongolia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.2296,
Agriculture Total,Mongolia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.7617,
Agriculture Total,Mongolia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,11.05,
Agriculture Total,Montenegro,Emissions (N2O),Manure Management,2010,gigagrams,0.09,
Agriculture Total,Montenegro,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0283,
Agriculture Total,Montenegro,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.119,
Agriculture Total,Montenegro,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1366,
Agriculture Total,Montserrat,Emissions (N2O),Manure Management,2010,gigagrams,0.0006,
Agriculture Total,Montserrat,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0026,
Agriculture Total,Montserrat,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0175,
Agriculture Total,Morocco,Emissions (N2O),Manure Management,2010,gigagrams,0.2659,
Agriculture Total,Morocco,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,4.5868,
Agriculture Total,Morocco,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.7031,
Agriculture Total,Morocco,Emissions (N2O),Manure left on Pasture,2010,gigagrams,15.0028,
Agriculture Total,Mozambique,Emissions (N2O),Manure Management,2010,gigagrams,0.6349,
Agriculture Total,Mozambique,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.9033,
Agriculture Total,Mozambique,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.5599,
Agriculture Total,Mozambique,Emissions (N2O),Manure left on Pasture,2010,gigagrams,3.8023,
Agriculture Total,Myanmar,Emissions (N2O),Manure Management,2010,gigagrams,11.3823,
Agriculture Total,Myanmar,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.0681,
Agriculture Total,Myanmar,Emissions (N2O),Manure applied to Soils,2010,gigagrams,7.169,
Agriculture Total,Myanmar,Emissions (N2O),Manure left on Pasture,2010,gigagrams,15.1753,
Agriculture Total,Namibia,Emissions (N2O),Manure Management,2010,gigagrams,0.0818,
Agriculture Total,Namibia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0593,
Agriculture Total,Namibia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1167,
Agriculture Total,Namibia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,5.2388,
Agriculture Total,Nauru,Emissions (N2O),Manure Management,2010,gigagrams,0.0004,
Agriculture Total,Nauru,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0005,
Agriculture Total,Nauru,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0,
Agriculture Total,Nepal,Emissions (N2O),Manure Management,2010,gigagrams,0.5695,
Agriculture Total,Nepal,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.8984,
Agriculture Total,Nepal,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.9365,
Agriculture Total,Nepal,Emissions (N2O),Manure left on Pasture,2010,gigagrams,8.6154,
Agriculture Total,Netherlands,Emissions (N2O),Manure Management,2010,gigagrams,4.1252,
Agriculture Total,Netherlands,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,4.5382,
Agriculture Total,Netherlands,Emissions (N2O),Manure applied to Soils,2010,gigagrams,6.7029,
Agriculture Total,Netherlands,Emissions (N2O),Manure left on Pasture,2010,gigagrams,3.3504,
Agriculture Total,Netherlands Antilles (former),Emissions (N2O),Manure Management,2010,gigagrams,0.0011,
Agriculture Total,Netherlands Antilles (former),Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0021,
Agriculture Total,Netherlands Antilles (former),Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0103,
Agriculture Total,New Caledonia,Emissions (N2O),Manure Management,2010,gigagrams,0.0238,
Agriculture Total,New Caledonia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0116,
Agriculture Total,New Caledonia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.017,
Agriculture Total,New Caledonia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1974,
Agriculture Total,New Zealand,Emissions (N2O),Manure Management,2010,gigagrams,1.5293,
Agriculture Total,New Zealand,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,5.127,
Agriculture Total,New Zealand,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.4736,
Agriculture Total,New Zealand,Emissions (N2O),Manure left on Pasture,2010,gigagrams,36.407,
Agriculture Total,Nicaragua,Emissions (N2O),Manure Management,2010,gigagrams,0.2454,
Agriculture Total,Nicaragua,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.83,
Agriculture Total,Nicaragua,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.0754,
Agriculture Total,Nicaragua,Emissions (N2O),Manure left on Pasture,2010,gigagrams,5.4137,
Agriculture Total,Niger,Emissions (N2O),Manure Management,2010,gigagrams,0.2498,
Agriculture Total,Niger,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.1005,
Agriculture Total,Niger,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.5071,
Agriculture Total,Niger,Emissions (N2O),Manure left on Pasture,2010,gigagrams,24.6845,
Agriculture Total,Nigeria,Emissions (N2O),Manure Management,2010,gigagrams,3.8741,
Agriculture Total,Nigeria,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,5.4792,
Agriculture Total,Nigeria,Emissions (N2O),Manure applied to Soils,2010,gigagrams,3.7719,
Agriculture Total,Nigeria,Emissions (N2O),Manure left on Pasture,2010,gigagrams,57.1885,
Agriculture Total,Niue,Emissions (N2O),Manure Management,2010,gigagrams,0.0003,
Agriculture Total,Niue,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0004,
Agriculture Total,Niue,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0003,
Agriculture Total,North Macedonia,Emissions (N2O),Manure Management,2010,gigagrams,0.2253,
Agriculture Total,North Macedonia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.4049,
Agriculture Total,North Macedonia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.326,
Agriculture Total,North Macedonia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.4621,
Agriculture Total,Norway,Emissions (N2O),Manure Management,2010,gigagrams,0.6725,
Agriculture Total,Norway,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.7774,
